1,Ben Roethlisberger,ben-roethlisberger,PIT,pittsburgh-steelers,36,QB,16,16,9,6,1,0.5625,452,675,66.96296296,"5,129",34,5.037037037,16,2.37037037,97,7.6,11.3,320.6,96.5,73,24,166,3.4,2,3
2,Patrick Mahomes,patrick-mahomes,KC,kansas-city-chiefs,23,QB,16,16,12,4,0,0.75,383,580,66.03448276,"5,097",50,8.620689655,12,2.068965517,89,8.8,13.3,318.6,113.8,82,26,171,4.3,2,2
3,Matt Ryan,matt-ryan,ATL,atlanta-falcons,33,QB,16,16,7,9,0,0.4375,422,608,69.40789474,"4,924",35,5.756578947,7,1.151315789,75,8.1,11.7,307.8,108.1,70.6,42,296,6.5,1,1
4,Jared Goff,jared-goff,LAR,los-angeles-rams,24,QB,16,16,13,3,0,0.8125,364,561,64.88413547,"4,688",32,5.704099822,12,2.139037433,70,8.4,12.9,293,101.1,65.4,33,223,5.6,4,4
5,Andrew Luck,andrew-luck,IND,indianapolis-colts,29,QB,16,16,10,6,0,0.625,430,639,67.29264476,"4,593",39,6.103286385,15,2.34741784,68,7.2,10.7,287.1,98.7,71.5,18,134,2.7,3,3
6,Aaron Rodgers,aaron-rodgers,GB,green-bay-packers,35,QB,16,16,6,9,1,0.375,372,597,62.31155779,"4,442",25,4.18760469,2,0.335008375,75,7.4,11.9,277.6,97.6,56.8,49,353,7.6,3,3
7,Tom Brady,tom-brady,NE,new-england-patriots,41,QB,16,16,11,5,0,0.6875,375,570,65.78947368,"4,355",29,5.087719298,11,1.929824561,63,7.6,11.6,272.2,97.7,68.8,21,147,3.6,1,2
8,Philip Rivers,philip-rivers,LAC,los-angeles-chargers,37,QB,16,16,12,4,0,0.75,347,508,68.30708661,"4,308",32,6.299212598,12,2.362204724,75,8.5,12.4,269.3,105.5,71.2,32,204,5.9,3,3
9,Eli Manning,eli-manning,NYG,new-york-giants,37,QB,16,16,5,11,0,0.3125,380,576,65.97222222,"4,299",21,3.645833333,11,1.909722222,58,7.5,11.3,268.7,92.4,51.2,47,358,7.5,1,2
10,Kirk Cousins,kirk-cousins,MIN,minnesota-vikings,30,QB,16,16,8,7,1,0.5,425,606,70.1320132,"4,298",30,4.95049505,10,1.650165017,75,7.1,10.1,268.6,99.7,60.6,40,262,6.2,1,0
